symbol,close,daily_return,shares_owned,position_value
GOOGL,368.53,-0.9833687095300858,10,3685.2999999999997
AAPL,307.34,-1.2498795103299987,10,3073.3999999999996
MSFT,416.67,-2.6585679243079086,10,4166.7
AMZN,246.03,-3.057646085346144,10,2460.3
TSLA,391.0,-6.559923527303136,10,3910.0
